2861.60 ( 6046.46    7.80   0.115) |  879.952 |  426.435  972.339  946.145  972.635  922.881  896.163  896.717  894.059  891.170  888.553  886.317  884.517  883.026  881.774  880.624  879.598  878.891  878.140  877.446  876.623  877.054  875.985  874.793  873.132  869.177  866.182  862.211  852.774  870.079  879.215  879.335  878.074  843.185  845.836  848.284  879.967 36
2861.30 ( 7161.26    7.26   0.086) |  640.036 |  279.879  670.878  637.518  618.078  629.182  634.270  636.848  638.126  638.622  638.766  638.740  638.662  638.466  638.176  638.120  637.800  637.847  637.435  637.243  636.360  633.934  632.781  631.622  627.505  620.530  620.948  623.228  607.484  597.071  379.701  390.995 31
2861.00 ( 5905.25    7.84   0.169) |  920.353 |  568.612  979.243  995.988  914.470  965.801  912.955  921.328  923.163  923.318  922.791  922.012  920.980  919.984  919.130  918.230  917.612  916.783  915.874  915.427  914.456  912.697  911.751  908.816  909.686  903.187  902.769  895.821  893.499  883.598  845.390  829.870  891.251 32
2860.70 ( 6288.69    7.60   0.162) |  829.381 |  514.263  855.826  855.054  803.276  870.540  869.858  811.685  821.261  824.559  825.678  826.112  826.004  825.592  825.394  825.105  824.865  823.488  822.301  822.617  820.951  821.904  817.436  810.718  814.382  799.854  784.815  779.275  365.350  750.124  755.613  826.980  827.340 32
2860.40 ( 5831.14    7.54   0.178) |  909.519 |  613.167  968.929  950.101  866.337  973.131  907.490  910.205  910.786  910.600  910.094  909.328  908.669  908.054  907.448  907.060  906.794  906.032  905.048  903.886  901.971  900.070  895.006  881.126  881.522  872.091  871.855  848.348  729.053  506.894  265.022  838.297  776.472 32
2860.10 ( 5989.72    7.43   0.097) |  861.773 |  514.050  921.508  936.043  887.553  880.963  876.448  872.923  870.062  867.785  865.949  864.465  863.349  862.321  861.660  861.070  860.444  860.144  860.275  859.781  859.368  858.606  858.488  855.649  854.368  851.856  844.734  843.755  846.181  844.842  833.291  832.069  475.853  755.893  847.600 34
2859.80 ( 4164.21    7.52   0.315) | 1213.037 |  839.984 1280.435 1306.803 1315.813 1308.603 1298.122 1232.041 1174.266 1198.735 1202.999 1204.465 1205.344 1204.370 1203.457 1201.813 1200.794 1198.684 1196.591 1191.051 1189.277 1185.344 1184.094 1169.540 1141.210 1060.685  967.205  754.358  949.828 1182.778 1185.625 1204.011 31
2859.50 ( 5315.20    5.97   0.295) |  983.816 |  595.596  889.006 1086.260 1036.760 1022.620 1014.614 1008.264  993.112  990.821  987.852  985.416  983.116  980.816  978.473  975.743  973.352  970.445  964.236  947.776  923.637  897.633  956.742  956.111  966.385  912.950 25
2859.20 ( 8965.57    4.92   0.093) |  303.826 |  181.229  272.506  267.212  282.923  292.719  298.097  300.571  301.512  301.738  301.451  301.098  300.427  299.685  299.084  298.182  299.957  297.461  297.718  289.203 19
2858.90 ( 8303.86    5.00   0.136) |  399.228 |  159.856  312.029  353.023  401.051  400.827  402.147  402.286  401.731  400.852  399.892  398.689  397.859  396.298  394.839  393.406  389.290  384.622  386.681  383.637  373.153  328.915 21
2858.60 ( 4881.29    5.83   0.477) | 1059.169 |  552.976  828.526 1058.337 1071.150 1085.682 1112.131 1090.207 1080.413 1073.552 1068.102 1063.476 1059.426 1055.583 1051.527 1046.969 1038.535 1026.813  987.244  977.587  777.982  312.973  575.612  801.054  812.742  919.666 25
2858.30 ( 5221.15    6.01   0.487) | 1033.464 |  425.708  855.852 1138.927 1078.274 1071.179 1066.889 1079.930 1031.619 1039.963 1037.478 1034.483 1031.372 1028.349 1024.762 1019.908 1013.869 1004.854  975.862  986.502  909.462  593.719  985.515  989.809  993.651  997.103 1000.214 26
